,sentence_index,hiccups_sentence,fscope_tag,fscope_tag_plain
42,42,absolutely amazing.,0,staging
43,43,we had our doubts but it worked the very first time.,0,staging
44,44,great great idea.,2,evoking
45,45,it worked for me!,2,evoking
46,46,i just did it!,2,evoking
47,47,last night my bf was helping me hold my breath and that took a few tries before it worked... wow!,2,evoking
48,48,it's a miracle lol i plugged nose and ears for maybe 20 seconds and swallow my spit instead of water and my hiccups are magically gone!,2,evoking
49,49,cool!,2,evoking
50,50,i had hiccups for an hour n i was a bit scared n vexed then i searched the internet n found this n guess wat-it worked!!!!,0,staging
51,51,"i've read about it before as well, increasing your accumulation of carbon dioxide or holding carbon dioxide in for a bit of time helps a lot to cure hiccups and faster.",0,staging
52,52,it's a lot better way than being yelled at unexpectedly to be startled.,2,evoking
53,53,thanks!,2,evoking
54,54,my husband had been hiccupping for four days...... was looking for some relief.,0,staging
55,55,and this seems to have worked!!!!,2,evoking
56,56,thanks again!!!,2,evoking
57,57,i knowit works from my 3 grade teacher now every time i have the hiccups i hold mg breathe and ears and take a drink of water.,0,staging
58,58,and it works every time thank 3 grade teacher.,0,staging
59,59,and thank you for trying to be the first one to tell me.,2,evoking
60,60,' ghostsays: thank you man that remedy helped me alot idk know where you are but it 6:40am here in my home town and i been hiccuping off and on for like... a couple of hours but i did that and it helped massively ( had to do it twice lol but it work people like you should keep giving advice.,2,evoking
61,61,wow.,2,evoking
62,62,my husband had hipcup for two days.,0,staging
63,63,i follow your tip n the hipcup r gone.,0,staging
64,64,"i have had a friend visiting for 2 days and all he has done is hickup non-stop so we tried your suggestion and wow it worked instantly, i have never seen anything work so fast..... thank you thank you thank you.",2,evoking
65,65,wow!,2,evoking
66,66,i have multiple sclerosis and was truly scared i was having a new symptom.,0,staging
67,67,i \ ' ve had the hiccups for hours.,0,staging
68,68,"i tried the, "" thumbs in the ears, fingers holding the nose, drink a little water "" trick.",0,staging
69,69,i had to do it twice... but i \ ' m no longer hiccuping!,2,evoking
70,70,thank you for this tip!,2,evoking
71,71,i get these hiccups every day or every other day and they last for hours.,0,staging
72,72,now i know what to do!,2,evoking
73,73,just told my daughter about this.,0,staging
74,74,she gets them for a long period of time ending with a headache.,0,staging
75,75,she did it and it worked.,0,staging
76,76,you should have apatent on that...,2,evoking
77,77,i just had steroid injections in my knees about 36 hours ago.,0,staging
78,78,i started hiccuping about 4 hours ago and decided to look up on we&amp; low &amp; behold lots of people had the same issue.,0,staging
79,79,yourholdingears nose &amp; water does not work for steroid hiccups.,0,staging
80,80,i've now had the hiccups for close to 24 hours... no kidding... my whole body hurts and i didn't get any sleep last night.,0,staging
81,81,when should i goto the doctor to have it checked out?,1,inviting
82,82,my husband had the hiccups for over 2 hours and i got him to try this and it worked really fast!,2,evoking
83,83,i must disagree...,0,staging
84,84,"i actually was just reading an article that if your hiccups last for more than a day ( they should relieve within a few minutes ), then you should see a physician.",2,evoking
85,85,"the reason behind this is because long-lasting hiccups are a sign of real physical ailments, such as a problem with the central nervous system.",0,staging
86,86,"not trying to scare you, but wanted to let you know what i read.",0,staging
87,87,i think the cure to hiccups is to accutualy to eat a spoon full of peanutbutter.,0,staging
88,88,this has been proven to cure thehiccups in a flash.,0,staging
89,89,andalso if you eat 5 whole wheat crakers and then hold your breath for 30 sec.,0,staging
90,90,it should also get rid of your hoccups.,0,staging
91,91,i have had hiccups off and on for more than 20 yrs -- sometimes they are uncomfortable.,0,staging
92,92,i increase the co2 by covering my mouth while breathing in and out.,0,staging
93,93,"when they reoccur, i repeat the process all over.",0,staging
94,94,"if you dont have two people, drink your cup of water upside down.",0,staging
95,95,i find bending as far foward till you touch your knees works.,0,staging
96,96,sometimes you have to do it a couple times.,0,staging
97,97,i always get a sever case of hiccups after recieving a steroid shot to cure poison ivy.,0,staging
98,98,i take in a deep breath and gulp in as many as i can without passing out and hold my breath gor as long as i can.,0,staging
99,99,tjere is your sipply of carnon dioxide build up.,0,staging
100,100,yea.. i would like to let everybody know how i cure hiccups.,0,staging
101,101,t works every single time.,0,staging
102,102,"you can use a cup or a bottle, it don't really matter.",0,staging
103,103,"anyway, i put my mouth on the backside of the cup and bend over, then i justtake about 10 swallows backwards.. i promise it works everytime.",0,staging
104,104,"what almost always works for me ( but not for my wife ) is to mix a teaspoon of sugar in an 8oz glass of water, and drink it all at once.",0,staging
105,105,i have a neverfail variation-on-holding-your-breath cure.,0,staging
106,106,"take as big a breath as you can but don't close your throatinstead, hold the breath in as though you're still taking more air in.",0,staging
107,107,"when the hiccup comes, there's no spasm, there's nowhere for the diaphragm to go.",0,staging
108,108,it chills.,0,staging
109,109,"takes a bit of energy, and is easier to do standing up.",0,staging
110,110,it worked!!!!!,2,evoking
111,111,thank you!!!!!!,2,evoking
112,112,this worked fabulously.,0,staging
113,113,i had hiccups twice today and this cure worked right away!,2,evoking
114,114,you did it!,2,evoking
115,115,thank you so much!,2,evoking
116,116,its 4 in the mornin and i have done all the other things!,0,staging
117,117,i have a cup of warm water here and i stink of vinegar!,2,evoking
118,118,"was about to give up and gave your "" keep breathing in thing a go ""!",0,staging
119,119,its the only thing that makes sense and it worked!,0,staging
120,120,now i can get my sleepy ass back to bed!,2,evoking
121,121,i have had the hiccups for 48 freakin ' hours!!!,2,evoking
122,122,i am not smiling as i write this.,0,staging
123,123,"after that long, i was seriously starting to lose it.",0,staging
124,124,i thought that i had tried everything... until i ran across this remedy.,0,staging
125,125,keeping throat open worked.,0,staging
126,126,a spoonful of sugar ( no water ) cures them right up!,2,evoking
127,127,it was my granmother's cure and has always worked for our whole family.,0,staging
128,128,pretty painless way of curing them also!,2,evoking
129,129,my cure is to down a glass of water w/o the sugar all at once and it always works for me.,0,staging
130,130,diabetics don't put sugar in their water.,0,staging
131,131,i agree with mary.,0,staging
132,132,the glass of water works evry time for me.,0,staging
133,133,"you have to take a deep breath and drink it all at once though, no stopping partway.",0,staging
134,134,needs to be a decent size glass aswell at least a half pint full up.,0,staging
135,135,i'm a teen diabetic and i've literally tried everything.,0,staging
136,136,i've had them for 2 hours.,0,staging
137,137,"this always works for me... with your mouth shut, swallow 3 times and the hiccups should be gone.",0,staging
138,138,the holding your mouth shut thing and swallowing 3 times while holding your breath totally works.,0,staging
139,139,i swear by it!!!,2,evoking
140,140,"holding your breath and swallowing works most of the time, but not when you have had a reaction to a cortisone shot as i have had.",0,staging
141,141,"i thought it was a reaction to an antibiotic, but my doctor studied my chart and found out that both times i've had uncontrollable hiccups ( first time 7 days ) and the second time 36 hours, was due to the cortisone.",0,staging
142,142,"finally, after 3 days of intermittent hiccups, at midnight, i was able to use the holding the breath technique without hiccuping in the midst of trying.",0,staging
143,143,this morning the hiccups are completely gone!,2,evoking
144,144,i have now had hiccups for the past 10 days and causes terrible heart burn and takes my breath away.,0,staging
145,145,i got them along with bad headaches shortly after getting a cortizone shot.,0,staging
146,146,what can i take to make these go away?,1,inviting
147,147,i got a cortizone shot yesterday and am experience the exact same issue!,2,evoking
148,148,i got the shot yesterday in the morning but woke up in the middle of the night due to hiccups.,0,staging
149,149,i had never experienced anything like this before.,0,staging
150,150,"after the hiccups stop, they start up again in at least 30 minutes.",0,staging
151,151,i am never getting a cortizone injection ever again.,0,staging
152,152,i am hiccupping right now as i type this!,2,evoking
153,153,i was reading this while i had a terrible case of hicups and it really worked.,0,staging
154,154,i can't beleive that they went away.,0,staging
155,155,this really did work!,2,evoking
156,156,thanks a bunch!,2,evoking
157,157,"hey,it really works!!!!!!",2,evoking
158,158,thanks for the advice!!!!!!!!!!!!,2,evoking
159,159,"drink a small glass of plain water, drinking it from the opposite side of the glass.",0,staging
160,160,you'll probably have to bend over at the waist to do this.,0,staging
161,161,tricky but it has worked every time for me!,2,evoking
162,162,my surefire cure is to stand on my head.,0,staging
163,163,even holding that position for a few seconds cures my hiccups.,0,staging
164,164,swallow a teaspoon of sugar and then place a large paper bag over your head and breathe.,0,staging
165,165,it works.,0,staging
166,166,we even got it to work w/salt instead of sugar when we couldn't find sugar!,2,evoking
167,167,"here \ ' s the wikipedia entry on hiccups, which has links to cures.",0,staging
168,168,( this whole page is great. ),0,staging
169,169,"my favorite one is this : "" take a teaspoon each of ginger juice, honey, lime juice and a pinch of pepper.",0,staging
170,170,"mix them together and lick a tiny bit from a spoon, off and on.",0,staging
171,171,"this will helps to cure hiccups. """,0,staging
172,172,"sounds like something that could be yummy over noodles, but it \ ' s awfully complicated if you \ ' re casting about, trying to rid yourself of a bad case of hiccups!",2,evoking
173,173,"i also like this "" pay no attention to the man behind the curtain "" sort of cure : "" enage yourself in talking with somebody and do not care about hiccups.",0,staging
174,174,"the hiccups will stop in five minutes. """,0,staging
175,175,"and this one made me laugh out loud, although i can \ ' t for the life of me imagine why it would have any effect on hiccups at all : "" think of all the bald men you can. """,0,staging
176,176,"according to wikipedia, "" the guinness world record for the longest continuous bout of hiccups ( 19221990 ) goes to charles osborne ( 18941991 ) from anthon, iowa.",0,staging
177,177,"the hiccups started in 1922 at a rate of 40 times per minute, slowing to 20 and eventually stopping in february 1990a total of 68 years. """,0,staging
178,178,guess none of the remedies worked for him?,1,inviting
179,179,ouch!,2,evoking
180,180,"i had hiccups for over a week several years ago; i tried sugar, holding my breath, having someone scare me.",0,staging
181,181,once i had the hicups for the whole day at school which is 61/2 hours long.,0,staging
182,182,hiccups cure.,0,staging
183,183,my uncle works at a hospital.,0,staging
184,184,"he says a good 90 percent of the time they cure hiccups by plugging both ears and raising your elbows up as high as you can by filling it, and drinking water ( i have found any liquid works ) through a straw.",0,staging
185,185,"other people said plug ears, and nostrils.",0,staging
186,186,never heard of that.,0,staging
187,187,"but plugging ears, elbows high, and drink through a straw ( no straw, put liquid in mouth, then plueats and swallow ) repeat 2 to 4 times and they are gone every.",0,staging
188,188,single time for me.,0,staging
189,189,"0 ut that other note in because you don't always have a straw handy, makes it easier because you can take several drinks repeatedly in a row, but not needed.",0,staging
190,190,hope this helps somebody as much as it helps me!!!!,2,evoking
191,191,"i found this interesting "" scientific "" product which is purported to help you cure hiccups.",0,staging
192,192,"the hic-cup ( a cup with a brass rod that touches your temple when you drink from it ) works through :... the use of natural galvanic action, a mild ionic flow is created that initiates a sub-sensory bio-electric therapy.",0,staging
193,193,"this means that the hiccup nerves are re-set by a natural electric current that you cannot feel, and that this reliably ends the distressing spasms.",0,staging
194,194,what i think that means is that a small electrical impulse is created by steel and the brass touching in the water you drink from the cup ( just like a battery ).,0,staging
195,195,this tiny impulse zaps your vagus nerve.,0,staging
196,196,"i don \ ' t know if this works for sure or not but the fda has approved vagus nerve therapies for people who suffer from singultus, or chronic hiccups.",0,staging
197,197,i have tried and endorsed to my clients the device just mentioned... the hic-cup.,0,staging
198,198,it works fabulously every time for treating hiccups ( singultus... the real word ).,0,staging
199,199,"the device works on simple, high school chemistry principles and is much more effective and discreet than most all folk remedies.",0,staging
200,200,many people use their voice for business and cannot afford to waste time fooling with home remedies.,0,staging
201,201,eating and drinking too fast can bring on hiccups so the hic-cup is like insurance for the modern communicator.,0,staging
202,202,i have found it useful with young children as well.,0,staging
203,203,the hic-cup website ( www.hic-cups.com )contains testimonials from those suffering from post-operative singultus and the cup seems to work beautifully.,0,staging
204,204,singultus can be a symptom of many serious diseases and conditions and the makers of the cup not only offer a full money-back guarantee but recommend seeing a physician if the cup does not work.,0,staging
205,205,i am 11 and i get hiccups alot.,0,staging
206,206,i know the guy that invented the hic-cup and i got to test the first ones years ago.,0,staging
207,207,i still use it about 1 or 2 times a week.,0,staging
208,208,"i have a new one, but even the old prototype works great.",0,staging
209,209,"my counsin's pediatrician on the east coast told her to take a spoon full of peanut butter, put it in her mouth and swallow it when she gets the hiccups.",0,staging
210,210,"i've tried it, and it works every time.",0,staging
211,211,my hiccups are always gone within a few seconds.,0,staging
212,212,it almost always works for me to plug my nose and pop my ears and they go away.,0,staging
213,213,not sure why.,0,staging
214,214,"this never fails... take 15 quick sips of cold water, one right after the other.",0,staging
215,215,they're always gone by the last sip!,2,evoking
216,216,"put a paper bag over your head, and keep breathing.",0,staging
217,217,"this makes you breath your exhaled air, less oxygen-rich, and your body relaxes.",2,evoking
218,218,"this always works for me, not always for my kids.",0,staging
219,219,my co-worker just had the hiccups...... here is a cure that worked for her and always worked for me........ hold your nose and drink 10 sips of water..... she did it with sprite and it worked.,0,staging
220,220,if you hold your breath and take very small sips of a cup of water your hiccups will be gone by the time you are done with your cup of water.,2,evoking
221,221,guaranteed!!,2,evoking
222,222,heard about this hic-cup cup on a philly radio station ( 1210am ).,0,staging
223,223,the dj mike smerconish gave a testimonial about how it worked for him.,0,staging
224,224,hopefully it will be in stores before christmas as it seems like a cool gift.,0,staging
225,225,hicups are fun!,2,evoking
226,226,especially those really high pitched cartoony ones.,0,staging
227,227,"so, don't be in a rush to cure them, bask in all the cute attention you can get when you have them.",0,staging
228,228,"; ) when i was a kid, i used to hang upside down from my pullup bar and drink a glass of water.",0,staging
229,229,"no easy feat, but it was fun and it always worked.",0,staging
230,230,"later though, i realized that just about anything can cure the hicups in most cases, so long as it takes the person's mind off of the hicups.",0,staging
231,231,hence the myriad of crazy sounding solutions that have been passed through the generations and on this page.,0,staging
232,232,"so, i suggest doing something wacky and new that requires your full concentration, and they'll be gone before you know it.",0,staging
233,233,"please help... every time i go for a smoke i start to hiccup as soon as ive taken a swallow,i dont hiccup again until i take another swallow.... why is this?",1,inviting
234,234,"apparently you have a hiccup trigger - in your case, smoking causes you to get the hiccups!",2,evoking
235,235,so stop smoking or get used to hiccupping!,2,evoking
236,236,"smoking is really bad for you, and is more addictive than any drug.",0,staging
237,237,smoking sucks.,0,staging
238,238,smoking is stupid.,0,staging
239,239,"hiccup cure wins prize department of inernal medicine, bnai zion medical center, haifa, israel.",0,staging
240,240,a 60-year-old man with acute pancreatitis developed persistent hiccups after insertion of a nasogastric tube.,0,staging
241,241,"removal of the latter did not terminate the hiccups which had also been treated with different drugs, and several manoeuvres were attempted, but with no success.",0,staging
242,242,digital rectal massage was then performed resulting in abrupt cessation of the hiccups.,0,staging
243,243,"recurrence of the hiccups occurred several hours later, and again, they were terminated immediately with digital rectal massage.",0,staging
244,244,no other recurrences were observed.,0,staging
245,245,this is the second reported case associating cessation of intractable hiccups with digital rectal massage.,0,staging
246,246,we suggest that this manoeuvre should be considered in cases of intractable hiccups before proceeding with pharmacological agents.,0,staging
247,247,"pmid : 2299306 [ pubmed - indexed for medline ] this technique earned an ig nobel prize ( annual award given at harvard university by annals of improbable research magazine for weird, wacky and sometimes worthless scientific research ).",0,staging
248,248,"my friend told me about this one, and it has worked every time.",0,staging
249,249,"when you get the hiccups, ask someone else "" do you have the hiccups? """,1,inviting
250,250,"and, no matter what the answer, if you believe their answer your hiccups will go away!",2,evoking
251,251,"it \ ' s a fast and easy way to get rid of them, that has worked for us every single time.",0,staging
252,252,i learned this from a cocktail waitress.,0,staging
253,253,pour some bitters on a wedge of lemon and suck on it.,0,staging
254,254,it works!,2,evoking
255,255,"of course i don't always have bitters and a lemon handy, but i usually have success by just holding my nose and taking a drink of water.",0,staging
256,256,what always works for me is to drink water through a paper napkin.,0,staging
257,257,i inadvertently found this cure for hiccups : tickling!,2,evoking
258,258,"i used to try to "" scare "" the hiccups out of my children, but they quickly grew wise to the fact that i would sneak up and scream if i heard them "" hic "".",0,staging
259,259,"once, my daughter had hiccups, and she laughed at my poor attempt to scare her.",0,staging
260,260,"a tickle attack ensued, and her hiccups were gone!",2,evoking
261,261,"we noted that this may be a good hiccup cure, and have had many occasions to test the theory since.",0,staging
262,262,it always works!,2,evoking
263,263,"my guess is that laughing ( really hard ), which tenses the abdominal muscles and prolongs exhalation from the lungs, somehow calms the diaphragmatic spasm.",0,staging
264,264,it \ ' s a cure... and it \ ' s fun!,2,evoking
265,265,"next time i get hiccups, which i do from medication, i'll have to tell my kids about it!",0,staging
266,266,this time i juast laid down and let the dog lick my face until they stopped!,0,staging
267,267,i had awful hicups!!!!,2,evoking
268,268,i tried alm0st everything!!,2,evoking
269,269,drink 0ut 0f a stainless steel cup 0r anything stainless steel... it w0rks!,2,evoking
270,270,i've twice had terrible hiccups that lasted for days.,0,staging
271,271,i was so fed up with them that i tried something very unusual at breakfast with my wife.,0,staging
272,272,"i put some salt on my hand and snorted it up my nose, then snorted some orange juice through a straw.",0,staging
273,273,immediately the hiccups stopped!,2,evoking
274,274,i've used this several times and it has worked every time even though it is a little uncomfortable.,0,staging
275,275,it really works!!!!!,2,evoking
276,276,"wendel the bartender in silverthorn, colorado gave me a cure 25 years ago that continues to work.",0,staging
277,277,drink a shot of the sour mix for tom collins.,0,staging
278,278,"i don \ ' t usually have this available so i substitute a shot of "" real lemon "" juice.",0,staging
279,279,the pucker stops the hic ups.,0,staging
280,280,i had an upper respiratory infection for a week before seeing the doctor.,0,staging
281,281,"after a megadrug treatment - steroid shot, antihistine, antibiotic, nasal spray, cough suppressant - the works!",2,evoking
282,282,"by the end of the day, however, i was breathing very well and felt better.",0,staging
283,283,"after reading a couple of messages on this site, i get the clear idea that i might have had a significant increase of oxygen when the drugs took effect because since the drugs,i \ ' ve had two days of hiccups now.",0,staging
284,284,this is the reason i searched this site.,0,staging
285,285,"the "" cure "" that had an immediate cessation was the one about taking in a deep breath but using the diaphram to hold it without closing the throat to hold it.",0,staging
286,286,"it worked this time, anyway.",0,staging
287,287,"well... if you think and actually believe that you don't have hiccups, they will go away and same the opposite way.",0,staging
288,288,"( think and believe that you do have them, and you will get them. )",0,staging
289,289,it's been medically proven!,2,evoking
290,290,"well, i don't know about that unique monique.",0,staging
291,291,i would have to see your sources on that one.,0,staging
292,292,"since hiccups are caused by the unconcious part of your nervous system, i doubt you would simply be able to think them away.",0,staging
293,293,"now that's not to say that conscious thought can't affect them, i just don't think it is as sure fire as you state.",0,staging
294,294,cure for hiccups 1.fill glass with water 2.take small sips one right after another ror 60 secconds straight 3.curedthis tricks the diaphram long enough to cure hiccups everytime gauranteed came from a respitoty therapist at the er that i work with regulary.,0,staging
295,295,eat a pinch of sugar.,0,staging
296,296,"i eat a teaspoon full of sugar, down a glass of water, hold my breath for ten seconds and then my hiccups are gone.",0,staging
297,297,it works all the time.,0,staging
298,298,use a tens unit mid back to help with hiccups.,0,staging
299,299,see if it works.,0,staging
300,300,"take a glass of water, bend over &amp; drink the water from the other side of the cup.",0,staging
301,301,this has worked for me every single time i have had hiccups.,0,staging
302,302,my mother tought me this &amp; i've been using this trick since i was a little girl.,0,staging
303,303,i have had every test my 3 doctors could think of and all of my results came back normal.,0,staging
304,304,i would really like to get rid of these maddening hiccups for good.,0,staging
305,305,does anyone know of something for this serious?,1,inviting
306,306,my husband has had the chronic hiccups for 7 years.,0,staging
307,307,they never stop.,0,staging
308,308,tried every surgery out there.,0,staging
309,309,he sticks a spoon down his throat gagging himself.,0,staging
310,310,along with taking baclofen to give him temporary relief.,0,staging
311,311,noticed your post was from about 7 years ago.,0,staging
312,312,"steve, my uncle had chronic hiccups that he was able to manage by using a homemade version of the "" hic cup "".",0,staging
313,313,put a metal spoon in a glass of water so that the handle is in the water.,0,staging
314,314,"hold the spoon part to your temple and drink the water slowly, without taking any breaths.",0,staging
315,315,"usually works on the first attempt, though it sometimes takes two glasses of water to get it right.",0,staging
316,316,hope that helps.,0,staging
317,317,"this cure has worked 100 % of the time, even with people i have been able to convey how to do it.",0,staging
318,318,"so if you can do it, you will be cured.",0,staging
319,319,"if you inhale as much air into your lungs as possible, then force a bit more air down there ( much like you would force air into your stomach to make yourself belch like you were in grammer school, except you're forcing it into your lungs instead... ).",1,inviting
320,320,this expands the lungs beyond their normal capacity a bit.,0,staging
321,321,"hold that for about 2-3 seconds, then exhale.",0,staging
322,322,"you will get a very big natural high, but your hiccups will be gone.",0,staging
323,323,"do not do this while driving, the natural high could make you dizzy.",0,staging
324,324,i have seen a ton of ideas about how to cure the hiccups.,0,staging
325,325,i believe that i have found the true cure for hiccups.,0,staging
326,326,to start you must find a straight back chair and sit down with your back fully pressed to the back of the chair.,0,staging
327,327,slowly bend over in the tuck position with your arms crossed over your body the same way you would bend over when an airline stewardess instructs you to take when they say get in the crash position until you feel slightly uncomfortable.,1,inviting
328,328,now slowly squeeze your arms and try to squeeze your body and hold your breath for 5-10 seconds and release.,2,evoking
329,329,stay in the same position but relax then repeat this procedure again for at least 2 to 3 times again.,0,staging
330,330,then slowly sit back up.,0,staging
331,331,this should have cured the problem the first time but if not try this again.,0,staging
332,332,because of this procedure i have never had the hiccups for a long period of time and neither has any i shown this technique to.,0,staging
333,333,"www.nohiccups.com - fast, easy, free, and it works - i had hiccups once for 3 days straight, i rarely even get hiccups anymore and if i do, i can easily make them go away in under a minute.",0,staging
334,334,i have had ther hiccups for about 24 hours now.,0,staging
335,335,i am a student in high school and it has been really hard for me to concentrate on anything.,0,staging
336,336,i have tried so many remedies.,0,staging
337,337,anyone have anyother suggestions because this one didnt work?,1,inviting
338,338,"dear science buzz,i have the cure for hiccups!",2,evoking
339,339,"it has worked everytime, even on strangers.",0,staging
340,340,"you see hiccups is mind over matter, you won't beleive it but try it yourself and see.",0,staging
341,341,"here is the remedyfree, painless, no meds, effective immediatly.",0,staging
342,342,first when you hear someone hiccuping all you do is say 13 simple words :( 1 ) i ( 2 ) will ( 3 ) give ( 4 ) you ( 5 ) a ( 6 ) $ 100 ( 7 ) if ( 8 ) you ( 9 ) can ( 10 ) hiccup ( 11 ) one ( 12 ) more ( 13 ) time.,0,staging
343,343,"sometimes they may not hear you and you might have to repeat it, but gauranteed it has worked every single time no matter who it is or what age, race, height, wheight, gender differences there may be, it works! @!!!!!!",0,staging
344,344,"please try this and let me know, although its only been tried in california im sure the location isn't a factor for the outcome.",0,staging
345,345,i was about to mention that trick.,0,staging
346,346,"my friend tried it on me, and it worked, it was amazing!",2,evoking
347,347,"maybe it's cause i was thinking, yeah right, as if you'll give me a hundred dollars as well as yeah right, as if this is going to work, but it did!",0,staging
348,348,hiccups are soooooooooooooooooo annoying!!!!!!!!!!!!!,0,staging
349,349,at least i got rid of ' em!,2,evoking
350,350,i get hiccups when i eat seed's or seed oil's such as sunflower.,0,staging
351,351,i'had them really bad the other day after i ate dinner i took a nap and they stopped but as soon as i got up again they started.,0,staging
352,352,then i tried the holding your breath not using your throat and it seemed to stop but now i'm getting them over a longer period of time like 1 every few hours.,0,staging
353,353,not sure what to do.,0,staging
354,354,cry.,0,staging
355,355,i hiccup sort of randomly throughout the day.,0,staging
356,356,about every 20 min or so.,0,staging
357,357,i get them a bit more right after i eat and i get them really bad when drinking carbonated drinks.,0,staging
358,358,i have had this for the last year and they wont go away.,0,staging
359,359,"ok, so last night i went to a party and had the hiccups the whole night and it was a horrible experience.",0,staging
360,360,"trust me, trying to shoot vodka while your constantly hiccuping doesn't work.",2,evoking
361,361,"so anyways, i ended up falling asleep with my hiccups and woke up with them the next morning.",0,staging
362,362,i had them several hours into the day as well.,0,staging
363,363,i thought this was peculiar because i've never experienced hiccups lasting more than an hour or two.,0,staging
364,364,my friend handed me a full glass of water and told me to bend my upper body as far down to the ground as i could and drink from the glass upside down.,0,staging
365,365,i did and took as many gulps of the water as i could.,0,staging
366,366,it really did work and my hiccups were cured.,0,staging
367,367,hiccups stink...... drinkin vidka whie tryin to get rid of hiccups is mostlikly nota good idea.... i usaly get hiccups at school.... i hate em.... oh well at least that they whent away!!!!!,2,evoking
368,368,"okay, you all are going to think this is the craziest hiccup cure you have heard..... but, it has always worked for me and my family.",0,staging
369,369,if you can stomach a small amount ( 1-2tsp ) of vinegar or even pickle juice will work.,0,staging
370,370,"i am a nurse, and 20 + years ago i had a patient who had hiccups for several days while in the hospital, and after prescription medicines failed to help him, he was just resorted to the fact that he would go home with them.",0,staging
371,371,"i had been urging him all this time to try some vinegar, and at the last minute, as he was getting into the elevator, hiccups and all, he finally told me to hurry and get him some vinegar.",0,staging
372,372,i found a packet in our nourishment room and ran it to the elevator.,0,staging
373,373,"his hiccups stopped immediately, and he became a believer!!",2,evoking
374,374,"it has never failed to work for me or my daughters, and i am not sure where i heard of using vinegar, but it does work!!",2,evoking
375,375,that worked for me!,2,evoking
376,376,the thumbs over the ears and the middle fingers over the nose.,0,staging
377,377,nice!,2,evoking
378,378,"i get the hiccups * all * the time... after i eat, especially... i can eat just a little cracker &amp; get the hiccups... i only do it like once or twice though, then they're gone.",0,staging
379,379,"what works for me is to take a sip of water, don't swallow, bend over so that you're looking at the ground &amp; then swallow the water.",0,staging
380,380,try it!,2,evoking
381,381,"i am experiencing a hiccup right now and have tried all the remedies i saw at the internet, but to no avail.",0,staging
382,382,is there any medicines that couls stop hiccups?,1,inviting
